Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature;;;;;;;;;
"spotify:track:11MyiSGZSYSmhhqwGUTtAq,""Sad Girl"",""Ultraviolence (Deluxe)"",""Lana Del Rey"",2014-01-01,317760,81,false,,2026-03-17T11:21:54Z,"""",""Polydor Records"",0.345,0.587,5,-8.346,1,0.0364,0.539,0.0731,0.119,0.258,119.479,4";;;;;;;;;
"spotify:track:447r2keRxpkINmWYp83MlH,""Maquiavélico"",""Muerte"",""Canserbero"",2012-03-22,284708,64,false,,2026-03-16T17:08:03Z,""hip hop latino,rap"",""La Biblioteca, LLC"",0.554,0.868,11,-5.386,1,0.116,0.544,0,0.142,0.402,92.907,4";;;;;;;;;
"spotify:track:41i7NlbHryL4wBXnVCc4vL,""No Se Si Fue"",""No Se Si Fue"",""Arcángel"",2013-01-01,213185,61,false,,2026-03-14T17:55:19Z,""reggaeton,trap latino,urbano latino"",""La Factoria Del Flow"",0.855,0.536,11,-10.514,0,0.0891,0.331,0.000711,0.0833,0.794,92.024,4";;;;;;;;;
"spotify:track:70FCugJxa7XW04Np6iYJdI,""21 Questions"",""Get Rich Or Die Tryin'"",""50 Cent";"Nate Dogg"",2003-02-06,224440,80,true,,2026-03-13T11:50:04Z,""hip hop vieja escuela,East Coast hip hop,g-funk,West Coast hip hop"",""Shady Records"",0.646,0.813,6,-3.846,0,0.299,0.349,0.0000937,0.0427,0.895,92.729,4";;;;;;;;
"spotify:track:0pqnGHJpmpxLKifKRmU6WP,""Believer"",""Evolve"",""Imagine Dragons"",2017-06-23,204346,89,false,,2026-03-13T11:47:39Z,"""",""Kid Ina Korner / Interscope"",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4";;;;;;;;;
"spotify:track:60a0Rd6pjrkxjPbaKzXjfq,""In the End"",""Hybrid Theory (Bonus Edition)"",""Linkin Park"",2000-10-24,216880,91,false,,2026-03-13T11:39:32Z,""nu metal,rap metal,rock,metal alternativo"",""Warner Records"",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4";;;;;;;;;
"spotify:track:5D2mYZuzcgjpchVY1pmTPh,""Candy Shop"",""The Massacre"",""50 Cent";"Olivia"",2005-03-03,209106,83,true,,2026-03-12T14:34:40Z,""hip hop vieja escuela,East Coast hip hop"",""Aftermath/Shady"",0.613,0.574,11,-7.961,1,0.467,0.0253,0.0000313,0.38,0.755,125.18,5";;;;;;;;
"spotify:track:7MiZjKawmXTsTNePyTfPyL,""Devil Eyes"",""Providence"",""Hippie Sabotage"",2016-02-05,131271,78,false,,2026-03-12T14:32:04Z,"""",""iHipHop Distribution"",0.391,0.396,1,-8.621,0,0.189,0.702,0.405,0.315,0.199,99.112,5";;;;;;;;;
"spotify:track:4woTEX1wYOTGDqNXuavlRC,""Superman"",""The Eminem Show"",""Eminem";"Dina Rae"",2002-05-26,350320,84,true,,2026-03-12T14:24:30Z,""rap,hip hop"",""Eminem Catalog PS"",0.802,0.755,4,-3.138,0,0.0564,0.0215,0,0.295,0.58,130.027,4";;;;;;;;
"spotify:track:7iL6o9tox1zgHpKUfh9vuC,""In Da Club"",""Get Rich Or Die Tryin'"",""50 Cent"",2003-02-06,193466,84,true,,2026-03-12T14:21:05Z,""hip hop vieja escuela,East Coast hip hop"",""Shady Records"",0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,4";;;;;;;;;
"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,""Gangsta's Paradise"",""Gangsta's Paradise"",""Coolio";"L.V."",1995-11-07,240693,89,false,,2026-03-12T14:00:54Z,""West Coast hip hop,g-funk"",""Tommy Boy Music, LLC"",0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.386,79.975,4";;;;;;;;
